number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,user_attrs_threshold,user_attrs_val_acc,state
28,0.7487412527735109,2026-06-24 19:01:29.114776,2026-06-24 19:01:29.548186,0 days 00:00:00.433410,7.0623782688205585,0.3310722592080281,0.560349997344326,3.145063993537534,1.699166442662816,0.07828474389929137,3,25,336,0.8957902721959147,0.5300000000000002,0.7868525896414342,COMPLETE
29,0.7550563236047106,2026-06-24 19:01:29.594051,2026-06-24 19:01:29.982882,0 days 00:00:00.388831,1.225113223861157,0.37643750832532785,0.3594597803105832,4.058500865692326,1.1368611054036617,0.022109762162712994,5,18,427,0.770137634734207,0.46000000000000013,0.7908366533864541,COMPLETE
30,0.7566670933606419,2026-06-24 19:01:30.027047,2026-06-24 19:01:30.365096,0 days 00:00:00.338049,9.543243728504597,0.3510448706722087,0.4031763464480448,4.997441890405712,13.547589139058699,0.05098720509663262,4,15,606,0.61715524127874,0.48000000000000015,0.798804780876494,COMPLETE
31,0.7423088410991638,2026-06-24 19:01:30.411324,2026-06-24 19:01:30.747535,0 days 00:00:00.336211,5.948831629799166,0.3541311478459746,0.39936361083610367,4.956807056008647,13.673001761608198,0.052132013224524563,4,15,591,0.554619586589422,0.48000000000000015,0.7908366533864541,COMPLETE
32,0.747685185185185,2026-06-24 19:01:30.792653,2026-06-24 19:01:31.127854,0 days 00:00:00.335201,8.111314499673686,0.4034843449518408,0.48321120791317484,2.6386220373820586,10.160316309418084,0.059133920125101595,4,23,636,0.6126051029577395,0.5700000000000003,0.7868525896414342,COMPLETE
33,0.7518667861409798,2026-06-24 19:01:31.172912,2026-06-24 19:01:31.563753,0 days 00:00:00.390841,9.714039174485338,0.3704025683411673,0.3914474641037312,4.591011060874596,4.591760145529346,0.043318114855508676,5,15,525,0.6098068556674284,0.48000000000000015,0.798804780876494,COMPLETE
34,0.7448796722990272,2026-06-24 19:01:31.609407,2026-06-24 19:01:31.973195,0 days 00:00:00.363788,3.026636309718938,0.3314439196450651,0.531710324518561,1.8538821734403153,12.007241203414937,0.03792195374070018,4,28,717,0.540843480361822,0.5900000000000003,0.7888446215139442,COMPLETE
35,0.7565284178187404,2026-06-24 19:01:32.017351,2026-06-24 19:01:32.431020,0 days 00:00:00.413669,1.4540011023449921,0.4494163889034418,0.34016210371621425,3.3221847889457523,7.464330923786905,0.08273742320236015,5,20,789,0.7170051396988741,0.5500000000000003,0.796812749003984,COMPLETE
36,0.7459250725379757,2026-06-24 19:01:32.478201,2026-06-24 19:01:33.203755,0 days 00:00:00.725554,4.285051820480741,0.3957985454113294,0.5055145026752548,3.735452102432717,4.076149307672401,0.03250295195680288,2,14,218,0.6618111544488875,0.5200000000000002,0.7848605577689243,COMPLETE
37,0.7435569209762758,2026-06-24 19:01:33.248644,2026-06-24 19:01:33.539604,0 days 00:00:00.290960,2.338459726845948,0.5175091218326059,0.4276096592396115,0.10710505778449297,2.6794308753546208,0.06350556684750354,3,50,552,0.6224799827228015,0.5600000000000003,0.7948207171314741,COMPLETE
38,0.7527415087898959,2026-06-24 19:01:33.585730,2026-06-24 19:01:33.947813,0 days 00:00:00.362083,6.056720666546106,0.7716897574927792,0.4521038559678537,4.317716999380257,0.8020716596261083,0.046658049092722226,4,24,147,0.5651057189079594,0.5100000000000002,0.7928286852589641,COMPLETE
39,0.7426608636286055,2026-06-24 19:01:33.992321,2026-06-24 19:01:34.423089,0 days 00:00:00.430768,4.454206291742381,0.4888208369582068,0.4166073611319418,1.143045125829765,13.973355058623714,0.05397012274203516,2,20,291,0.7552940218207146,0.46000000000000013,0.7788844621513944,COMPLETE
